English,Chinese
abandon,放弃
ability,能力
able,有能力的
abortion,流产
about,关于
above,以上
abroad,国外
absence,缺席
absolute,绝对
absolutely,绝对地
absorb,吸收
abuse,虐待
academic,学术的
accept,接受
access,使用权
accident,事故
accompany,陪伴
accomplish,完成
according,根据
account,帐户
accurate,准确的
accuse,指控
achieve,达到
achievement,成就
acid,酸
acknowledge,承认
acquire,获得
across,穿过
act,行为
action,行动
active,积极的
activist,活动家
activity,活动
actor,演员
actress,演员
actual,实际的
actually,实际上
ad,广告
adapt,适应
add,添加
addition,添加
additional,额外的
address,地址
adequate,足够的
adjust,调整
adjustment,调整
administration,行政
administrator,行政人员
admire,钦佩
admission,入场
admit,承认
adolescent,青少年
adopt,采纳
adult,成人
advance,进步
advanced,先进的
advantage,优势
adventure,冒险
advertising,广告
advice,建议
advise,建议
adviser,顾问
advocate,提倡
affair,事务
affect,影响
afford,买得起
afraid,害怕
African,非洲人
African-American,非裔美国人
after,后
afternoon,下午
again,再次
against,反对
age,年龄
agency,机构
agenda,议程
agent,代理人
aggressive,挑衅的
ago,前
agree,同意
agreement,协议
agricultural,农业
ah,啊
ahead,先
aid,援助
aide,助手
AIDS,艾滋病
aim,目标
air,空气
aircraft,飞机
airline,航空公司
airport,飞机场
album,专辑
alcohol,酒精
alive,活
all,全部
alliance,联盟
allow,允许
ally,盟国
almost,几乎
alone,独自的
along,沿着
already,已经
also,还
alter,改变
alternative,选择
although,虽然
always,总是
AM,是
amazing,惊人
American,美国人
among,之中
amount,数量
analysis,分析
analyst,分析师
analyze,分析
ancient,古老的
and,和
anger,愤怒
angle,角度
angry,生气的
animal,动物
anniversary,周年纪念日
announce,宣布
annual,年度的
another,其他
answer,回答
anticipate,预料
anxiety,焦虑
any,任何
anybody,任何人
anymore,再过了
anyone,任何人
anything,任何事物
anyway,反正
anywhere,任何地方
apart,除外
apartment,公寓
apparent,显而易见
apparently,显然
appeal,上诉
appear,出现
appearance,外貌
apple,苹果
application,应用
apply,申请
appoint,委
appointment,预约
appreciate,欣赏
approach,方法
appropriate,合适的
approval,赞同
approve,批准
approximately,大约
Arab,阿拉伯
architect,建筑师
area,区域
argue,争论
argument,争论
arise,出现
arm,手臂
armed,武装
army,军队
around,大约
arrange,安排
arrangement,安排
arrest,逮捕
arrival,到达
arrive,到达
art,艺术
article,文章
artist,艺术家
artistic,艺术的
as,作为
Asian,亚洲
aside,在旁边
ask,问
asleep,睡着了
aspect,方面
assault,突击
assert,断言
assess,评估
assessment,评估
asset,资产
assign,分配
assignment,任务
assist,助攻
assistance,协助
assistant,助手
associate,联系
association,协会
assume,认为
assumption,假设
assure,保证
at,在
athlete,运动员
athletic,运动
atmosphere,气氛
attach,附
attack,攻击
attempt,试图
attend,参加
attention,注意力
attitude,态度
attorney,律师
attract,吸引
attractive,吸引人的
attribute,属性
audience,观众
author,作者
authority,权威
auto,汽车
available,可用的
average,平均
avoid,避免
award,奖
aware,知道的
awareness,意识
away,离开
awful,可怕
baby,婴儿
back,背部
background,背景
bad,坏的
badly,糟糕
bag,包
bake,烤
balance,平衡
ball,球
ban,禁止
band,乐队
bank,银行
bar,酒吧
barely,仅仅
barrel,桶
barrier,障碍
base,根据
baseball,棒球
basic,基本的
basically,基本上
basis,基础
basket,篮子
basketball,篮球
bathroom,浴室
battery,电池
battle,战斗
be,是
beach,海滩
bean,豆
bear,熊
beat,打
beautiful,美丽的
beauty,美丽
because,因为
become,变得
bed,床
bedroom,卧室
beer,啤酒
before,前
begin,开始
beginning,开始
behavior,行为
behind,在后面
being,存在
belief,信仰
believe,相信
bell,钟
belong,属于
below,以下
belt,腰带
bench,长椅
bend,弯曲
beneath,下面
benefit,益处
beside,旁
besides,除了
best,最好的
bet,赌注
better,更好的
between,之间
beyond,超过
Bible,圣经
big,大的
bike,自行车
bill,账单
billion,十亿
bind,绑定
biological,生物
bird,鸟
birth,出生
birthday,生日
bit,少量
bite,咬
black,黑色的
blade,刀
blame,责备
blanket,毯子
blind,瞎的
block,堵塞
blood,血液
blow,吹
blue,蓝色的
board,木板
boat,船
body,身体
bomb,炸弹
bombing,轰炸
bond,纽带
bone,骨
book,书
boom,繁荣
boot,引导
border,边界
born,出生
borrow,借
boss,老板
both,两个都
bother,打扰
bottle,瓶子
bottom,底部
boundary,边界
bowl,碗
box,盒子
boy,男生
boyfriend,男朋友
brain,脑
branch,分支
brand,牌
bread,面包
break,休息
breakfast,早餐
breast,胸部
breath,呼吸
breathe,呼吸
brick,砖
bridge,桥
brief,简短的
briefly,简要地
bright,明亮的
brilliant,杰出的
bring,带来
British,英国
broad,广阔
broken,破碎的
brother,兄弟
brown,棕色的
brush,刷子
buck,巴克
budget,预算
build,建造
building,建造
bullet,子弹
bunch,束
burden,负担
burn,烧伤
bury,埋葬
bus,公共汽车
business,商业
busy,忙碌的
but,但
butter,牛油
button,按钮
buy,买
buyer,买方
by,经过
cabin,舱
cabinet,内阁
cable,电缆
cake,蛋糕
calculate,计算
call,称呼
camera,相机
camp,营
campaign,活动
campus,校园
can,能够
Canadian,加拿大
cancer,癌症
candidate,候选人
cap,帽
capability,能力
capable,有能力的
capacity,容量
capital,首都
captain,队长
capture,捕获
car,车
carbon,碳
card,卡片
care,关心
career,职业
careful,小心
carefully,小心
carrier,载体
carry,携带
case,案子
cash,现金
cast,投掷
cat,猫
catch,抓住
category,类别
Catholic,天主教徒
cause,原因
ceiling,天花板
celebrate,庆祝
celebration,庆典
celebrity,名人
cell,细胞
center,中央
central,中央
century,世纪
CEO,首席执行官
ceremony,仪式
certain,肯定
certainly,当然
chain,链
chair,椅子
chairman,主席
challenge,挑战
chamber,腔室
champion,冠军
championship,锦标赛
chance,机会
change,改变
changing,更改
channel,渠道
chapter,章节
character,特点
characteristic,特征
characterize,特征
charge,收费
charity,慈善机构
chart,图表
chase,追赶
cheap,便宜的
check,查看
cheek,脸颊
cheese,起司
chef,厨师
chemical,化学
chest,胸部
chicken,鸡
chief,首席
child,孩子
childhood,童年
Chinese,中国人
chip,芯片
chocolate,巧克力
choice,选择
cholesterol,胆固醇
choose,选择
Christian,基督教
Christmas,圣诞节
church,教会
cigarette,香烟
circle,圆圈
circumstance,环境
cite,引用
citizen,公民
city,城市
civil,民事
civilian,平民
claim,宣称
class,班级
classic,经典的
classroom,课堂
clean,干净的
clear,清除
clearly,清楚地
client,客户
climate,气候
climb,爬
clinic,诊所
clinical,临床
clock,钟
close,关
closely,密切
closer,靠近
clothes,衣服
clothing,衣服
cloud,云
club,俱乐部
clue,线索
cluster,簇
coach,教练
coal,煤炭
coalition,联盟
coast,海岸
coat,外套
code,代码
coffee,咖啡
cognitive,认知的
cold,寒冷的
collapse,坍塌
colleague,同事
collect,搜集
collection,收藏
collective,集体
college,大学
colonial,殖民
color,颜色
column,柱子
combination,组合
combine,结合
come,来
comedy,喜剧
comfort,舒适
comfortable,舒服的
command,命令
commander,指挥官
comment,评论
commercial,商业的
commission,委员会
commit,犯罪
commitment,承诺
committee,委员会
common,常见的
communicate,交流
communication,沟通
community,社区
company,公司
compare,相比
comparison,比较
compete,竞争
competition,竞赛
competitive,竞争的
competitor,竞争者
complain,投诉
complaint,抱怨
complete,完全的
completely,完全地
complex,复杂的
complicated,复杂
component,零件
compose,撰写
composition,作品
comprehensive,综合的
computer,计算机
concentrate,集中
concentration,专注
concept,概念
concern,关心
concerned,担心的
concert,音乐会
conclude,得出结论
conclusion,结论
concrete,具体的
condition,（健康）状况
conduct,执行
conference,会议
confidence,信心
confident,自信的
confirm,确认
conflict,冲突
confront,面对
confusion,混乱
Congress,国会
congressional,国会
connect,连接
connection,联系
consciousness,意识
consensus,共识
consequence,结果
conservative,保守的
consider,考虑
considerable,大量
consideration,考虑
consist,组成
consistent,持续的
constant,持续的
constantly,不断地
constitute,构成
constitutional,宪法
construct,构造
construction,建造
consultant,顾问
consume,消耗
consumer,消费者
consumption,消耗
contact,接触
contain,包含
container,容器
contemporary,当代的
content,内容
contest,比赛
context,语境
continue,继续
continued,继续
contract,合同
contrast,对比
contribute,贡献
contribution,贡献
control,控制
controversial,有争议的
controversy,争议
convention,惯例
conventional,传统的
conversation,对话
convert,兑换
conviction,定罪
convince,说服
cook,厨师
cookie,曲奇饼
cooking,烹饪
cool,凉爽的
cooperation,合作
cop,警察
cope,应付
copy,复制
core,核
corn,玉米
corner,角落
corporate,公司的
corporation,公司
correct,正确的
correspondent,通讯员
cost,成本
cotton,棉布
couch,长椅
could,可以
council,理事会
counselor,顾问
count,数数
counter,柜台
country,国家
county,县
couple,夫妻
courage,勇气
course,课程
court,法庭
cousin,表哥
cover,覆盖
coverage,覆盖范围
cow,奶牛
crack,裂缝
craft,工艺
crash,碰撞
crazy,疯狂的
cream,奶油
create,创造
creation,创建
creative,有创造力的
creature,生物
credit,信用
crew,全体人员
crime,犯罪
criminal,刑事
crisis,危机
criteria,标准
critic,评论家
critical,批判的
criticism,批评
criticize,批评
crop,庄稼
cross,叉
crowd,人群
crucial,至关重要的
cry,哭
cultural,文化
culture,文化
cup,杯子
curious,好奇的
current,当前的
currently,目前
curriculum,课程
custom,风俗
customer,顾客
cut,切
cycle,循环
dad,爸爸
daily,日常的
damage,损害
dance,舞蹈
danger,危险
dangerous,危险的
dare,敢
dark,黑暗的
darkness,黑暗
data,数据
date,日期
daughter,女儿
day,天
dead,死的
deal,交易
dealer,经销商
dear,亲
death,死亡
debate,辩论
debt,债务
decade,十年
decide,决定
decision,决定
deck,甲板
declare,宣布
decline,衰退
decrease,减少
deep,深的
deeply,深
deer,鹿
defeat,打败
defend,防守
defendant,被告
defense,防御
defensive,防御性
deficit,赤字
define,定义
definitely,确实
definition,定义
degree,程度
delay,延迟
deliver,递送
delivery,送货
demand,要求
democracy,民主
Democrat,民主党人
democratic,民主
demonstrate,证明
demonstration,示范
deny,否定
department,部
depend,依靠
dependent,依赖
depending,取决于
depict,描绘
depression,沮丧
depth,深度
deputy,副
derive,派生
describe,描述
description,描述
desert,沙漠
deserve,应得
design,设计
designer,设计师
desire,欲望
desk,桌子
desperate,绝望的
despite,尽管
destroy,破坏
destruction,破坏
detail,细节
detailed,详细的
detect,探测
determine,决定
develop,开发
developing,发展
development,发展
device,设备
devote,奉献
dialogue,对话
die,死
diet,饮食
differ,不同
difference,区别
different,不同的
differently,不同
difficult,难的
difficulty,困难
dig,挖
digital,数字的
dimension,方面
dining,用餐
dinner,晚餐
direct,直接的
direction,方向
directly,直接地
director,导向器
dirt,污垢
dirty,肮脏的
disability,失能
disagree,不同意
disappear,消失
disaster,灾难
discipline,纪律
discourse,话语
discover,发现
discovery,发现
discrimination,歧视
discuss,讨论
discussion,讨论
disease,疾病
dish,盘子
dismiss,解雇
disorder,紊乱
display,展示
dispute,争议
distance,距离
distant,遥远
distinct,清楚的
distinction,区别
distinguish,区分
distribute,分发
distribution,分配
district,区
diverse,各种各样的
diversity,多样性
divide,划分
division,分配
divorce,离婚
DNA,脱氧核糖核酸
do,做
doctor,医生
document,文档
dog,狗
domestic,国内的
dominant,主导的
dominate,支配
door,门
double,双倍的
doubt,怀疑
down,下
downtown,市中心
dozen,打
draft,草稿
drag,拖
drama,戏剧
dramatic,戏剧性
dramatically,急剧
draw,画
drawing,绘画
dream,梦
dress,裙子
drink,喝
drive,驾驶
driver,司机
drop,降低
drug,药品
dry,干燥
due,到期的
during,期间
dust,灰尘
duty,责任
each,每个
eager,渴望的
ear,耳朵
early,早期的
earn,赚
earnings,收益
earth,地球
ease,舒适
easily,容易地
east,东
eastern,东
easy,简单的
eat,吃
economic,经济的
economics,经济学
economist,经济学家
economy,经济
edge,边缘
edition,版
editor,编辑
educate,教育
education,教育
educational,教育
educator,教育家
effect,影响
effective,有效的
effectively,有效
efficiency,效率
efficient,高效的
effort,努力
egg,蛋
eight,八
either,任何一个
elderly,老年
elect,选
election,选举
electric,电的
electricity,电
electronic,电子的
element,元素
elementary,初级
eliminate,排除
elite,精英
else,别的
elsewhere,别处
e-mail,电子邮件
embrace,拥抱
emerge,出现
emergency,紧急情况
emission,排放
emotion,感情
emotional,情绪化
emphasis,强调
emphasize,强调
employ,采用
employee,员工
employer,雇主
employment,就业
empty,空的
enable,使能够
encounter,遇到
encourage,鼓励
end,结尾
enemy,敌人
energy,活力
enforcement,执法
engage,从事
engine,引擎
engineer,工程师
engineering,工程
English,英语
enhance,提高
enjoy,请享用
enormous,巨大的
enough,足够的
ensure,确保
enter,进入
enterprise,企业
entertainment,娱乐
entire,全部的
entirely,完全
entrance,入口
entry,入口
environment,环境
environmental,环境的
episode,插曲
equal,平等的
equally,一样
equipment,设备
era,时代
error,错误
escape,逃脱
especially,尤其
essay,散文
essential,基本的
essentially,本质上
establish,建立
establishment,建立
estate,财产
estimate,估计
etc,ETC
ethics,伦理
ethnic,种族的
European,欧洲的
evaluate,评估
evaluation,评估
even,甚至
evening,晚上
event,事件
eventually,最终
ever,曾经
every,每一个
everybody,大家
everyday,每天
everyone,每个人
everything,一切
everywhere,到处
evidence,证据
evolution,进化
evolve,发展
exact,精确的
exactly,确切地
examination,考试
examine,检查
example,例子
exceed,超出
excellent,出色的
except,除了
exception,例外
exchange,交换
exciting,令人兴奋
executive,行政人员
exercise,锻炼
exhibit,展示
exhibition,展览
exist,存在
existence,存在
existing,现存的
expand,扩张
expansion,扩张
expect,预计
expectation,期待
expense,费用
expensive,昂贵的
experience,经验
experiment,实验
expert,专家
explain,解释
explanation,解释
explode,爆炸
explore,探索
explosion,爆炸
expose,暴露
exposure,暴露
express,表示
expression,表达
extend,延长
extension,扩大
extensive,广泛的
extent,程度
external,外部的
extra,额外的
extraordinary,非凡的
extreme,极端
extremely,极其
eye,眼睛
fabric,织物
face,脸
facility,设施
fact,事实
factor,因素
factory,工厂
faculty,学院
fade,褪色
fail,失败
failure,失败
fair,公平的
fairly,相当
faith,信仰
fall,落下
FALSE,错误的
familiar,熟悉的
family,家庭
famous,著名的
fan,扇子
fantasy,幻想
far,远的
farm,农场
farmer,农民
fashion,时尚
fast,快速地
fat,胖的
fate,命运
father,父亲
fault,过错
favor,恩宠
favorite,最喜欢的
fear,恐惧
feature,特征
federal,联邦
fee,费用
feed,喂养
feel,感觉
feeling,感觉
fellow,家伙
female,女性
fence,栅栏
few,很少
fewer,更少
fiber,纤维
fiction,小说
field,场地
fifteen,十五
fifth,第五
fifty,五十
fight,斗争
fighter,战斗机
fighting,斗争
figure,数字
file,文件
fill,充满
film,电影
final,最后
finally,最后
finance,金融
financial,金融
find,寻找
finding,发现
fine,美好的
finger,手指
finish,结束
fire,火
firm,公司
first,第一的
fish,鱼
fishing,钓鱼
fit,合身
fitness,健康
five,五
fix,使固定
flag,旗帜
flame,火焰
flat,平坦的
flavor,味道
flee,逃跑
flesh,肉
flight,航班
float,漂浮
floor,地面
flow,流动
flower,花
fly,飞
focus,重点
folk,民间
follow,跟随
following,下列的
food,食物
foot,脚
football,足球
for,为了
force,力量
foreign,外国的
forest,森林
forever,永远
forget,忘记
form,形式
formal,正式的
formation,形成
former,以前的
formula,公式
forth,向前
fortune,财富
forward,向前
found,成立
foundation,基础
founder,创始人
four,四个
fourth,第四
frame,框架
framework,框架
free,自由的
freedom,自由
freeze,冻结
French,法语
frequency,频率
frequent,频繁
frequently,频繁地
fresh,新鲜的
friend,朋友
friendly,友谊赛
friendship,友谊
from,从
front,正面
fruit,水果
frustration,挫折
fuel,汽油
full,满的
fully,完全
fun,乐趣
function,功能
fund,基金
fundamental,基本的
funding,资金
funeral,葬礼
funny,有趣的
furniture,家具
furthermore,此外
future,未来
gain,获得
galaxy,星系
gallery,画廊
game,游戏
gang,帮派
gap,差距
garage,车库
garden,花园
garlic,大蒜
gas,气体
gate,门
gather,收集
gay,同性恋
gaze,注视
gear,齿轮
gender,性别
gene,基因
general,一般的
generally,一般来说
generate,产生
generation,一代
genetic,遗传
gentleman,绅士
gently,轻轻
German,德语
gesture,手势
get,得到
ghost,鬼
giant,巨大的
gift,礼物
gifted,天才
girl,女孩
girlfriend,女朋友
give,给
given,给出
glad,高兴的
glance,一眼
glass,玻璃
global,全球的
glove,手套
go,去
goal,目标
God,上帝
gold,金子
golden,金的
golf,高尔夫球
good,好的
government,政府
governor,州长
grab,抓住
grade,年级
gradually,逐步地
graduate,毕业
grain,粮食
grand,盛大
grandfather,祖父
grandmother,祖母
grant,授予
grass,草
grave,墓穴
gray,灰色的
great,伟大的
greatest,最伟大
green,绿色
grocery,杂货店
ground,地面
group,团体
grow,生长
growing,生长
growth,生长
guarantee,保证
guard,警卫
guess,猜测
guest,来宾
guide,指导
guideline,指南
guilty,有罪的
gun,枪
guy,伙计
habit,习惯
habitat,栖息地
hair,头发
half,一半
hall,大厅
hand,手
handful,少量
handle,处理
hang,悬挂
happen,发生
happy,快乐的
hard,难的
hardly,几乎不
hat,帽子
hate,恨
have,有
he,他
head,头
headline,标题
headquarters,总部
health,健康
healthy,健康
hear,听到
hearing,听力
heart,心
heat,热
heaven,天堂
heavily,沉重
heavy,重的
heel,脚跟
height,高度
helicopter,直升机
hell,地狱
hello,你好
help,帮助
helpful,有帮助
her,她
here,这里
heritage,遗产
hero,英雄
herself,她自己
hey,嘿
hi,你好
hide,隐藏
high,高的
highlight,强调
highly,高度
highway,高速公路
hill,爬坡道
him,他
himself,他自己
hip,时髦的
hire,聘请
his,他的
historian,历史学家
historic,历史性
historical,历史
history,历史
hit,打
hold,抓住
hole,洞
holiday,假期
holy,圣
home,家
homeless,无家可归
honest,诚实的
honey,蜂蜜
honor,荣誉
hope,希望
horizon,地平线
horror,恐怖
horse,马
hospital,医院
host,主持人
hot,热的
hotel,酒店
hour,小时
house,屋
household,家庭
housing,住房
how,如何
however,然而
huge,巨大的
human,人类
humor,幽默
hundred,百
hungry,饥饿的
hunter,猎人
hunting,打猎
hurt,伤害
husband,丈夫
hypothesis,假设
I,我
ice,冰
idea,主意
ideal,理想的
identification,鉴别
identify,确认
identity,身份
ie,IE
if,如果
ignore,忽视
ill,患病的
illegal,非法的
illness,疾病
illustrate,阐明
image,图片
imagination,想像力
imagine,想象
immediate,即时
immediately,立即地
immigrant,移民
immigration,移民
impact,影响
implement,实施
implication,含义
imply,意味着
importance,重要性
important,重要的
impose,强加
impossible,不可能的
impress,印象深刻
impression,印象
impressive,感人的
improve,提升
improvement,改进
in,在
incentive,激励
incident,事件
include,包括
including,包含
income,收入
incorporate,包含
increase,增加
increased,增加
increasing,增加
increasingly,日益
incredible,极好的
indeed,的确
independence,独立
independent,独立的
index,指数
Indian,印度人
indicate,表明
indication,指示
individual,个人
industrial,工业的
industry,行业
infant,婴儿
infection,感染
inflation,通货膨胀
influence,影响
inform,通知
information,信息
ingredient,成分
initial,最初的
initially,最初
initiative,倡议
injury,受伤
inner,内
innocent,清白的
inquiry,询问
inside,里面
insight,洞察力
insist,坚持
inspire,启发
install,安装
instance,实例
instead,反而
institution,机构
institutional,机构
instruction,操作说明
instructor,讲师
instrument,乐器
insurance,保险
intellectual,知识分子
intelligence,智力
intend,打算
intense,激烈的
intensity,强度
intention,意图
interaction,相互作用
interest,兴趣
interested,感兴趣的
interesting,有趣的
internal,内部的
international,国际的
Internet,互联网
interpret,解释
interpretation,解释
intervention,干涉
interview,面试
into,进入
introduce,介绍
introduction,介绍
invasion,入侵
invest,投资
investigate,调查
investigation,调查
investigator,研究者
investment,投资
investor,投资者
invite,邀请
involve,涉及
involved,涉及
involvement,参与
Iraqi,伊拉克
Irish,爱尔兰人
iron,铁
Islamic,伊斯兰
island,岛
Israeli,以色列
issue,问题
it,它
Italian,意大利人
item,物品
its,它的
itself,本身
jacket,夹克
jail,监狱
Japanese,日本人
jet,喷射
Jew,犹
Jewish,犹太人
job,工作
